RUN	SolrQueryTraffic	solrquerytraffic	1545814412295	 	3.0.1
REQUEST	75		Search	1545814497519	1545814557522	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	77		Search	1545814498508	1545814558512	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	73		Search	1545814499772	1545814559777	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	73	END	1545814496503	1545814559805
REQUEST	82		Search	1545814501015	1545814561019	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	78		Search	1545814503161	1545814563167	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	78	END	1545814499014	1545814563175
REQUEST	81		Search	1545814503876	1545814563881	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	81	END	1545814500513	1545814563882
REQUEST	72		Search	1545814504098	1545814564102	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	72	END	1545814496004	1545814564103
REQUEST	29		Search	1545814504138	1545814564140	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	29	END	1545814469504	1545814564141
REQUEST	83		Search	1545814506249	1545814566422	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	83	END	1545814501979	1545814566422
REQUEST	84		Search	1545814506464	1545814566468	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	84	END	1545814502003	1545814566469
REQUEST	87		Search	1545814507497	1545814567501	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	87	END	1545814503515	1545814567502
REQUEST	89		Search	1545814509272	1545814569273	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	89	END	1545814504503	1545814569273
REQUEST	54		Search	1545814488976	1545814570211	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	22		Search	1545814510208	1545814570222	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	22	END	1545814464343	1545814570222
REQUEST	6		Search	1545814510652	1545814570656	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	6	END	1545814450513	1545814570656
REQUEST	60		Search	1545814544456	1545814575224	OK	 
USER	Users	60	END	1545814489013	1545814575288
REQUEST	77		Search	1545814558513	1545814577278	OK	 
USER	Users	77	END	1545814498503	1545814577323
REQUEST	61		Search	1545814549524	1545814577598	OK	 
USER	Users	61	END	1545814489514	1545814577656
REQUEST	75		Search	1545814557524	1545814578179	OK	 
USER	Users	75	END	1545814497518	1545814578207
REQUEST	62		Search	1545814550523	1545814578221	OK	 
USER	Users	62	END	1545814490514	1545814578264
REQUEST	74		Search	1545814557023	1545814578620	OK	 
USER	Users	74	END	1545814497013	1545814578760
REQUEST	54		Search	1545814570216	1545814581266	OK	 
USER	Users	54	END	1545814488971	1545814584055
REQUEST	82		Search	1545814561021	1545814581401	OK	 
USER	Users	82	END	1545814501013	1545814585242
REQUEST	25		Search	1545814526716	1545814586718	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	25	END	1545814466701	1545814586760
REQUEST	71		Search	1545814555525	1545814587704	OK	 
USER	Users	71	END	1545814495515	1545814588150
REQUEST	21		Search	1545814529088	1545814589094	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	21	END	1545814463503	1545814589112
REQUEST	66		Search	1545814552514	1545814589061	OK	 
USER	Users	66	END	1545814492503	1545814590440
REQUEST	45		Search	1545814534992	1545814594996	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	45	END	1545814480003	1545814595006
REQUEST	50		Search	1545814543030	1545814597187	OK	 
USER	Users	50	END	1545814483013	1545814599012
REQUEST	57		Search	1545814548995	1545814597187	OK	 
USER	Users	57	END	1545814488972	1545814599219
REQUEST	63		Search	1545814551023	1545814603483	OK	 
USER	Users	63	END	1545814491013	1545814607136
REQUEST	58		Search	1545814548994	1545814608997	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	58	END	1545814488973	1545814609006
REQUEST	69		Search	1545814554018	1545814612848	OK	 
USER	Users	69	END	1545814494014	1545814613982
