RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818328066	1	3.0.1
REQUEST	59		Search	1545818342576	1545818342727	OK	 
REQUEST	61		Search	1545818342706	1545818342744	OK	 
USER	Users	62	START	1545818342810	1545818342810
REQUEST	61		Search	1545818342746	1545818342810	OK	 
REQUEST	60		Search	1545818342684	1545818342826	OK	 
REQUEST	59		Search	1545818342734	1545818342843	OK	 
USER	Users	59	END	1545818342211	1545818342845
REQUEST	62		Search	1545818342810	1545818342864	OK	 
REQUEST	62		Search	1545818342865	1545818342905	OK	 
REQUEST	61		Search	1545818342814	1545818342920	OK	 
USER	Users	61	END	1545818342609	1545818342925
REQUEST	62		Search	1545818342910	1545818342942	OK	 
REQUEST	60		Search	1545818342844	1545818342958	OK	 
REQUEST	62		Search	1545818342944	1545818342978	OK	 
REQUEST	60		Search	1545818342960	1545818342982	OK	 
USER	Users	60	END	1545818342409	1545818342983
REQUEST	62		Search	1545818342982	1545818343008	OK	 
USER	Users	62	END	1545818342810	1545818343009
USER	Users	63	START	1545818343009	1545818343009
REQUEST	63		Search	1545818343010	1545818343037	OK	 
REQUEST	63		Search	1545818343038	1545818343091	OK	 
REQUEST	63		Search	1545818343097	1545818343117	OK	 
REQUEST	63		Search	1545818343119	1545818343174	OK	 
USER	Users	64	START	1545818343210	1545818343210
REQUEST	63		Search	1545818343175	1545818343209	OK	 
USER	Users	63	END	1545818343009	1545818343214
REQUEST	64		Search	1545818343210	1545818343258	OK	 
REQUEST	64		Search	1545818343262	1545818343357	OK	 
USER	Users	65	START	1545818343408	1545818343408
REQUEST	64		Search	1545818343369	1545818343434	OK	 
REQUEST	65		Search	1545818343409	1545818343476	OK	 
REQUEST	64		Search	1545818343447	1545818343514	OK	 
REQUEST	65		Search	1545818343491	1545818343545	OK	 
REQUEST	65		Search	1545818343548	1545818343583	OK	 
USER	Users	66	START	1545818343609	1545818343609
REQUEST	64		Search	1545818343515	1545818343625	OK	 
USER	Users	64	END	1545818343210	1545818343629
REQUEST	66		Search	1545818343609	1545818343652	OK	 
REQUEST	65		Search	1545818343586	1545818343661	OK	 
REQUEST	66		Search	1545818343655	1545818343742	OK	 
USER	Users	67	START	1545818343809	1545818343809
REQUEST	67		Search	1545818343810	1545818343854	OK	 
REQUEST	67		Search	1545818343856	1545818343895	OK	 
REQUEST	66		Search	1545818343746	1545818343875	OK	 
USER	Users	68	START	1545818344010	1545818344010
REQUEST	67		Search	1545818343898	1545818344039	OK	 
REQUEST	66		Search	1545818343902	1545818344064	OK	 
REQUEST	66		Search	1545818344065	1545818344092	OK	 
USER	Users	66	END	1545818343609	1545818344095
REQUEST	67		Search	1545818344044	1545818344113	OK	 
REQUEST	68		Search	1545818344010	1545818344130	OK	 
REQUEST	67		Search	1545818344116	1545818344159	OK	 
USER	Users	67	END	1545818343809	1545818344160
USER	Users	69	START	1545818344208	1545818344208
REQUEST	68		Search	1545818344141	1545818344208	OK	 
REQUEST	69		Search	1545818344209	1545818344254	OK	 
REQUEST	68		Search	1545818344212	1545818344273	OK	 
REQUEST	69		Search	1545818344257	1545818344297	OK	 
REQUEST	68		Search	1545818344274	1545818344312	OK	 
REQUEST	69		Search	1545818344302	1545818344353	OK	 
REQUEST	68		Search	1545818344316	1545818344371	OK	 
USER	Users	68	END	1545818344010	1545818344376
USER	Users	70	START	1545818344411	1545818344411
REQUEST	70		Search	1545818344411	1545818344519	OK	 
REQUEST	69		Search	1545818344355	1545818344513	OK	 
REQUEST	70		Search	1545818344522	1545818344535	OK	 
REQUEST	65		Search	1545818343666	1545818344365	OK	 
USER	Users	65	END	1545818343408	1545818344579
REQUEST	69		Search	1545818344528	1545818344578	OK	 
USER	Users	69	END	1545818344208	1545818344580
USER	Users	71	START	1545818344609	1545818344609
REQUEST	70		Search	1545818344536	1545818344614	OK	 
REQUEST	70		Search	1545818344616	1545818344659	OK	 
REQUEST	71		Search	1545818344610	1545818344684	OK	 
REQUEST	70		Search	1545818344660	1545818344703	OK	 
USER	Users	70	END	1545818344411	1545818344705
REQUEST	71		Search	1545818344686	1545818344760	OK	 
USER	Users	72	START	1545818344809	1545818344809
REQUEST	71		Search	1545818344762	1545818344834	OK	 
REQUEST	71		Search	1545818344836	1545818344884	OK	 
REQUEST	72		Search	1545818344810	1545818344899	OK	 
REQUEST	71		Search	1545818344885	1545818345005	OK	 
USER	Users	71	END	1545818344609	1545818345008
USER	Users	73	START	1545818345009	1545818345009
REQUEST	72		Search	1545818344902	1545818345020	OK	 
REQUEST	73		Search	1545818345010	1545818345060	OK	 
REQUEST	72		Search	1545818345022	1545818345091	OK	 
REQUEST	73		Search	1545818345062	1545818345117	OK	 
REQUEST	72		Search	1545818345094	1545818345136	OK	 
REQUEST	72		Search	1545818345137	1545818345188	OK	 
USER	Users	72	END	1545818344809	1545818345190
REQUEST	73		Search	1545818345119	1545818345197	OK	 
USER	Users	74	START	1545818345208	1545818345208
REQUEST	73		Search	1545818345199	1545818345242	OK	 
REQUEST	74		Search	1545818345209	1545818345255	OK	 
REQUEST	74		Search	1545818345256	1545818345306	OK	 
REQUEST	73		Search	1545818345243	1545818345309	OK	 
USER	Users	73	END	1545818345009	1545818345310
REQUEST	74		Search	1545818345307	1545818345389	OK	 
USER	Users	75	START	1545818345411	1545818345411
USER	Users	76	START	1545818345610	1545818345610
REQUEST	76		Search	1545818345611	1545818345681	OK	 
REQUEST	74		Search	1545818345405	1545818345687	OK	 
REQUEST	75		Search	1545818345412	1545818345693	OK	 
REQUEST	76		Search	1545818345682	1545818345723	OK	 
REQUEST	76		Search	1545818345726	1545818345751	OK	 
REQUEST	74		Search	1545818345689	1545818345768	OK	 
REQUEST	75		Search	1545818345703	1545818345764	OK	 
